EDIF	LATITUD	LONGITUD	PLANTAS	HUELLA(M2)	CONFIG	OBS
TRIBUNAL ELECTORAL	8.966957	-79.548572	4		1	SE ENCUENTRA EN ANCON. EQUIPO EN BASE
TWIST TOWER						
VENTO MARE						
VICTORIA HILLS	9.013477	-79.512549	28		3	SE ENCUENTRA EN PUEBLO NUEVO. EQUIPO EN BASE
VILLA DEL MAR	8.975966667	-79.52489722	32		2	SE ENCUENTRA EN AV. BALBOA. EQUIPO EN BASE Y AZOTEA
VISION TOWER						
VISION TOWER 2						
VISTA BALBOA						
VISTA MARINA	8.97595	-79.52562	52		2	SE ENCUENTRA EN AV. BALBOA. EQUIPO EN BASE Y AZOTEA
VISTA MARINA 2						
VISTA MARINA T200						
VISTA PARK						
VITA BELLA						
VITRI TOWER	9.010494444	-79.463675	68		2	SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE Y AZOTEA
VITRO LOFT	8.9854	-79.52937	30		2	SE ENCUENTRA EN EL CANGREJO. EQUIPO EN BASE Y AZOTEA
WATERFALLS	8.991607	-79.499448	40		2	SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA
WESTIN PLAYA BONITA	8.89835	-79.57644722	22		2	SE ENCUENTRA EN VERACRUZ. EQUIPO EN BASE Y AZOTEA. WESTIN HOTEL
YACHT CLUB TOWER						
﻿EDIF,LATITUD,LONGITUD,PLANTAS,HUELLA(M2),CONFIG,OBS
ALCALA,9.01636,-79.46341,25,,2,SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE Y AZOTEA
Allure at the park,8.97575,-79.52886111,51,,2,SE ENCUENTRA N BELLA VISTA. EQUIPO EN BASE Y AZOTEA
Altamar del este,9.00809,-79.47481,49,,2,SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE Y AZOTEA
aRBOLEDA,9.004319444,-79.506175,43,,2,SE ENCUENTRA EN PARQUE LEFEVRE. EQUIPO EN BASE Y AZOTEA
Atrium,,,,,,
Bahia del golf,,,,,,
Bahia Resort,,,,,,
Bayfront,8.97586,-79.52068,30,,2,SE ENCUENTRA EN AV. BALBOA/MARBELLA. EQUIPO EN BASE Y AZOTEA
Bella vista gardens,8.979189,-79.530569,18,,2,SE ENCUENTRA EN PEREJIL. EQUIPO EN BASE Y AZOTEA
Belle view tower,,,,,,
BELLEVIEW TOWER,,,,,,
Breeze,9.016416,-79.467512,38,,2,SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE Y AZOTEA
Bristol Hotel,8.980683333,-79.52500833,28,,2,SE ENCUENTRA EN MARBELLA. EQUIPO EN BASE Y AZOTEA
C.E PIJAO,9.013827778,-79.47715278,20,,1,SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE
CACEA RS,,,,,,PLANO FÍSICO. NO EXISTE DATA EN CUADRO DE EDIFICIOS
Caja de ahorros,8.990408333,-79.52199167,16,,1,SE ENCUENTRA EN VÍA ESPAÑA. EQUIPO EN BASE
Campeon,8.426341667,-82.42657222,1,4759.98,1,APARECE COMO MALL EL CAMPEÓN. SE ENCUENTRA EN DAVID. NO APARECE NÚMERO DE PLANTAS
Cangrejo Bay,,,,,,NO EXISTE DATA EN CUADRO DE EDIFICIOS
CASA BONITA,8.899513,-79.573763,27,,2,SE ENCUENTRA EN KOBE
CASADELPORTO,,,,,,
cd titanium,,,,,,EN DATA HAY UNO QUE SE LLAMA TITANIUM TOWER PERO HAY QUE VER LOS PLANOS
CENTRAL PARK ,,,,,,
Century Plaza,,,,,,NO EXISTE DATA EN CUADRO DE EDIFICIOS
CENTURY TOWER ,9.0031,-79.53245,26,,2,SE ENCUENTRA EN TUMBA MUERTO. EQUIPO EN BASE Y AZOTEA
Chiriqui Mall,8.43094,-82.45827,1,,1,SE ENCUENTRA EN C. INTERAMERICANA DAVID. EQUIPO EN BASE
CIDECYT,,,,,,
City Tower,,,,,,
CO HIGH VIEW,,,,,,HAY UNO EN LA DATA QUE SE LLAMA HIGHLAND VIEW
Condado Business Center,9.026197,-79.523011,,5312,1,SE ENCUENTRA EN CONDADO DEL REY. EQUIPO EN BASE
Constelation,,,,,,
CORONADO BAY,8.52611,-79.89169,32,,2,SE ENCUENTRA EN P. CORONADO / SAN CARLOS. EQUIPO EN BASE Y AZOTEA
Coronado Golf,8.540569444,-79.88822222,35,,2,SE ENCUENTRA EN PLAYA CORONADO. EQUIPO EN BASE Y AZOTEA
COSTA VIEW,9.013517,-79.47692,23,,2,SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE Y AZOTEA
CRETA,,,,,,
Crystal Blue,9.004891667,-79.51220833,20,,1,SE ENCUENTRA EN VÍA ESPAÑA. EQUIPO EN BASE
Cuatro Islas,9.030126,-79.48939,22,,2,SE ENCUENTRA EN RÍO ABAJO
DE LUNA,9.014969,-79.533891,22,,2,SE ENCUENTRA EN VILLA DE LAS FUENTES. EQUIPO EN BASE Y AZOTEA
Denovo,,,,,,
Destiny,8.96706,-79.53346,54,,2,SE ENCUENTRA EN LA EXPOSICIÓN. EQUIPO EN BASE Y AZOTEA
DOS MARES VIEW T200,9.00356,-79.53441,23,,2,SE ENCUENTRA EN BARRIO DOS MARES. EQUIPO EN BASE Y AZOTEA
Dupont,8.976002778,-79.508375,54,,2,SE ENCUENTRA EN PUNTA PACÍFICA. EQUIPO EN BASE Y AZOTEA
Ecco Tower,9.00464,-79.51589,26,,2,SE ENCUENTRA LA SABANA-PUEBLO NUEVO. EQUIPO EN BASE Y AZOTEA
EDIFICIO QUADRAT,8.99559,-79.50711,38,,2,SE ENCUENTRA EN SAN FRANCISCO
EDIFICIO VIVENDI,8.99528,-79.53072,27,,2,SE ENCUENTRA EN LOMA LA PAVA/EDISONL
,8.995154,-79.530406,32,,2,SE ENCUENTRA EN EDISON PARK
,8.994767,-79.52996,34,,2,SE ENCUENTRA EN EDISON PARK 
El MARE T300-T400,8.99455,-79.5328,16,,1,SE ENCUENTRA EN EDISON PARK 
,8.99466,-79.53275,16,,2,SE ENCUENTRA EN EDISON PARK 
Element,8.96639,-79.53412,33,,2,SE ENCUENTRA EN AV. BALBOA
Elite 400,,,,,,EN LA DATA HAY UNO EDIFICIO LLAMADO Pacific Hills Torre 400 (Elite 400)
Galeria 1,8.98295,-79.52029,23,,2,SE ENCUENTRA EN OBARRIO - CALLE 54
Golden Palace,8.97281,-79.51671,36,,2,SE ENCUENTRA EN PUNTA PAITILLA
Golden Tower,,,,,,
GOLDEN TOWERS,,,,,,
GRAN PARK HOTEL ,,,,,,
GYMNASIUM CANAL PANAMA,,,,,,
h20,8.96594,-79.53445,34,,2,SE ENCUENTRA EN AV. BALBOA. H2O IN THE OCEAN
HARMONY TOWER ,,,,,,
HILL TOWER,,,,,,
HOSPITAL MATERNO INFANTIL,8.4313,-82.45552,11,,1,SE ENCUENTRA EN C. INTERAMERICANA/DAVID. HOSPITAL J.D. DE OBALDÍA
Hotel AQA,,,,,,
Hotel Howard Johnson,,,,,,
Hotel mediterranean,,,,,,
JOY,,,,,,
Kolosal,,,,,,
KUBIC,8.990079,-79.525249,22,,2,SE ENCUENTRA EN EL CANGREJO
La Costa,9.01608,-79.46494,35,,2,SE ENCUENTRA EN COSTA DEL ESTE. LA COSTA TOWER
LA TORRAZA,,,,,,
Las hortensias,9.00761,-79.507798,15,,1,SE ENCUENTRA EN PUEBLO NUEVO. EQUIPO EN BASE
Latitud,9.01608,-79.4649,35,,2,SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE. LATITUDE
LATORRACA,,,,,,
Lefevre sky,9.005937,-79.499952,27,,2,SE ENCUENTRA EN PARQUE LEFEVRE. PARQUE LEFEVRE SKY
Long Beach,8.99735,-79.49794,15,,1,SE ENCUENTRA EN COCO DEL MAR. EQUIPO EN AZOTEA
LUXOR TOWER,8.987322222,-79.52780833,28,,3,SE ENCUENTRA EN VÍA ARGENTINA. EQUIPO EN BASE
MANDARIN BAY,,,,,,
MARINA PLAZA,8.987233333,-79.50878889,35,,2,SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA
Megapolis,8.977275,-79.517875,66,,2,SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA. MEGÁPOLIS
Metro Tower,,,,,,
Mirador San Francisco,8.98827,-79.50551,22,,2,SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA
Miyaki,8.989338889,-79.51942778,28,,2,SE ENCUENTRA EN BELLA VISTA. EQUIPO EN BASE Y AZOTEA
Oasis,8.992652778,-79.51717778,28,,2,SE ENCUENTRA EN VÍA PORRAS. EQUIPO EN BASE Y AZOTEA. OASIS TOWER
Ocean 2,,,,,,NO SE SABE SI ES OCEAN PARK 2
Ocean Aire,8.980572222,-79.50700833,48,,2,SE ENCUENTRA EN PUNTA PACIFICA. EQUIPO EN BASE Y AZOTEA
Ocean drive,8.981811,-79.507708,41,,2,SE ENCUENTRA EN PUNTA PACIFICA. EQUIPO EN BASE Y AZOTEA
Ocean Park 1,8.97747,-79.50943,42,,2,SE ENCUENTRA EN PUNTA PACIFICA. EQUIPO EN BASE Y AZOTEA
Ocean Sky,8.99317,-79.49763,38,,2,SE ENCUENTRA EN PUNTA PACIFICA. EQUIPO EN BASE Y AZOTEA
Office Park II,,,,,,
Office Tower,8.97854,-79.51237,16,,1,SE ENCUENTRA EN PUNTA PAITILLA. EQUIPO EN BASE
Pacific point T200,8.97834,-79.50765,42,,2,SE ENCUENTRA EN PUNTA PAITILLA. EQUIPO EN BASE Y AZOTEA
Pacific point t300,8.97886,-79.50766,36,,2,SE ENCUENTRA EN PUNTA PAITILLA. EQUIPO EN BASE Y AZOTEA
Pacific village,8.976211111,-79.50783056,50,,3,SE ENCUENTRA EN PUNTA PACÍFICA. EQUIPO EN BASE
Panama Bay Tower,9.009775,-79.47129444,48,,2,SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE Y AZOTEA
PANORAMIC,,,,,,
PARAMOUNT,9.010723,-79.46827,63,,2,SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE Y AZOTEA
park city,8.99019,-79.52659,20,,1,SE ENCUENTRA EN EL CANGREJO. EQUIPO EN BASE 
Park loft,8.996219444,-79.50355278,38,,2,SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA
PARQUE DEL MAR ,9.0108,-79.47264,46,,2,SE ENCUENTRA EN COSTA DEL ESTE. EQUIPO EN BASE Y AZOTEA
PARQUE DEL MAR 2,,,,,,
PH CITRUS,8.99485,-79.50603,28,,2,SE ENCUENTRA EN SAN FRANCISCO. EQUIPO EN BASE Y AZOTEA
PH FAMAGOSTA LOFT,,,,,,
